Land Registry,Latitude,Longitude,Phone,Email,Hours,Services,Image_URL
Mombasa,-4.061544648,39.67198906,+254 41 2314567,mombasa@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Title Deeds, Cadastral Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kwale,-4.179160984,39.4558719,+254 40 3214567,kwale@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Boundary Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Kilifi,-3.634121489,39.85379417,+254 41 5214567,kilifi@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Coastal Survey, Title Processing",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Malindi,-3.223045481,40.11792445,+254 42 1314567,malindi@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Topographic Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Lamu,-2.228282589,40.84911403,+254 42 6334567,lamu@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Heritage Survey, Boundary Demarcation",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Wundanyi,-3.403035627,38.36182241,+254 43 5214567,wundanyi@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Hill Survey, Agricultural Mapping",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Taveta,-3.404204463,38.36638743,+254 43 5314567,taveta@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Border Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Voi,-3.389693053,38.5635357,+254 43 5014567,voi@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Railway Survey, Title Deeds",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Mwatate,-3.507663045,38.37277341,+254 43 5414567,mwatate@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Agricultural Survey",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Tana River,-1.496253426,40.03269691,+254 46 2214567,tanariver@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, River Survey, Irrigation Mapping",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
Busia,0.4634664066,34.10609686,+254 55 2214567,busia@landregistry.go.ke,8:00 AM - 5:00 PM,"Land Registration, Border Survey, Cross-Border Mapping",https://eprocedures.investkenya.go.ke/media/Survey%20of%20kenya.jpg
